case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
3126,WI,False,"Portage County, WI",Portage County,1p3c,12096.0,9234.96024,13475.782488240928,13136.5104,7729.04808,17924.742,10096.3674,83052.0468,81541.28125
574,ID,False,"Clark County, ID",Clark County,1p1c,9444.0,4801.1898,11374.65313289185,8176.55856,5161.59372,6029.061,5884.6524,53173.758,60005.66015625
977,KS,False,"Rush County, KS",Rush County,1p4c,12336.0,10901.8008,14867.990837155627,16669.212,8419.97172,10288.99296,7049.32032,80652.4164,68588.8984375
1598,MO,False,"St. Clair County, MO",St. Clair County,2p2c,7944.0,8125.16088,11209.79931404832,16373.5428,5822.4906,9072.96096,6026.60928,67483.3596,53007.83984375
2457,SD,False,"Ziebach County, SD",Ziebach County,1p1c,8628.0,4908.2226,12567.324994955205,12012.7704,4904.70744,5308.38612,4792.91784,52903.476,40431.27734375
1131,LA,True,"Lake Charles, LA MSA",Cameron Parish,2p2c,11325.6372,8604.87372,11148.38973738295,18432.7836,7221.61008,9980.34156,8579.469,80157.2808,65246.58203125
3134,WI,False,"Sawyer County, WI",Sawyer County,1p1c,9204.0,4587.1242,12156.678767496252,8258.62056,4997.06832,8411.83008,6694.53144,54510.4452,62231.8203125
560,ID,True,"Pocatello, ID MSA",Bannock County,2p0c,7116.0,5972.61432,12238.32368964896,9952.76004,4742.52132,0.0,5660.37492,45804.732,66481.8515625
1561,MO,False,"Lewis County, MO",Lewis County,1p1c,7944.0,4327.18692,16168.768360233591,11887.03416,4446.33468,4656.01572,5710.74612,50771.4252,58650.25
2390,SC,False,"Williamsburg County, SC",Williamsburg County,1p2c,8148.0,6676.09716,15460.51410222388,9175.80912,5371.35504,6819.564,2970.79308,51622.8396,48268.01171875
2542,TN,True,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",Trousdale County,2p4c,13302.6792,14334.9972,13819.498517168266,21153.5748,10014.21972,12858.6048,5381.46096,92831.9412,60821.98828125
1191,ME,False,"Knox County, ME",Knox County,2p3c,14496.0,14788.788,13230.871836348457,17244.3336,10611.033,12340.9704,9486.9294,94366.6872,73327.703125
951,KS,False,"McPherson County, KS",McPherson County,1p1c,8940.0,4847.06136,15414.097698777097,8384.35836,4995.5958,6131.77992,5900.6016,51469.5528,73652.1796875
1925,NC,False,"Bertie County, NC",Bertie County,2p4c,10596.0,12946.296,15940.40829655559,25194.1344,8530.30224,11699.9004,8272.55496,92496.9552,52489.29296875
525,GA,False,"Tattnall County, GA",Tattnall County,2p1c,7776.0,7125.76176,14454.813984160468,12504.8496,5399.49612,5234.28924,6602.10576,58001.5956,53824.16796875
1726,NE,False,"Kearney County, NE",Kearney County,1p1c,9132.0,4862.3514,16822.31682080064,9031.00488,5070.70536,6617.50416,5737.70328,52721.514,80353.2421875
313,CT,False,"Litchfield County, CT",Litchfield County,2p3c,18300.0,13324.554,15201.32610523557,18459.066,11458.82304,16551.912,14731.086,108939.3984,104093.4609375
3145,WI,False,"Waupaca County, WI",Waupaca County,1p4c,12228.0,9840.88764,15090.253459867607,15055.9716,7996.42824,17651.3256,9380.92968,86217.6792,74928.5234375
2092,OH,False,"Erie County, OH",Erie County,2p3c,12192.0,10249.65528,12867.37776630041,13905.4836,8131.49712,14419.2528,6197.00028,79787.4312,68958.5546875
227,CA,True,"San Francisco, CA HUD Metro FMR Area",San Mateo County,2p1c,48028.5852,9422.1042,13740.84439447586,14929.9632,20816.6508,15051.1524,30111.2196,153675.252,145687.109375
1035,KY,False,"Floyd County, KY",Floyd County,2p4c,9900.0,13618.248,12351.922525304806,18351.618,8521.58868,12133.926,6974.70336,83995.0488,43162.6328125
2136,OH,False,"Pike County, OH",Pike County,1p3c,11748.0,8099.27052,12845.074707519892,12000.792,7191.44892,13783.7628,5779.37508,71708.1384,59042.49609375
2627,TX,False,"Fayette County, TX",Fayette County,1p0c,7008.0,3164.41296,13215.063386294414,5506.79004,3685.86624,0.0,4660.2696,35739.2988,74511.6328125
1006,KY,False,"Bell County, KY",Bell County,1p2c,7956.0,6317.64912,13300.837859974878,9175.80912,5171.90592,10538.60964,5260.32828,56358.2748,33254.7890625
401,GA,True,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Bartow County,2p1c,11453.15556,6912.69948,13822.699427544001,12868.9512,6654.6738,7043.36352,8790.31272,68209.3008,67339.25
2427,SD,False,"Jerauld County, SD",Jerauld County,2p1c,8628.0,7480.86696,13711.640300082347,16176.3432,5836.87752,5461.98192,6061.8516,64446.8256,70915.6875
1713,NE,False,"Gosper County, NE",Gosper County,2p4c,11244.0,13259.8728,13918.172417067708,29971.8636,8878.71972,17958.18,11901.28128,109137.9732,83001.4296875
2071,OH,False,"Adams County, OH",Adams County,1p4c,11400.0,9804.30468,13034.217808686166,12546.4872,7683.156,13545.042,4085.79672,72559.6584,50041.33984375
2666,TX,False,"Howard County, TX",Howard County,1p2c,11568.0,6586.48536,11572.662926158706,10946.25072,6578.08596,9054.51264,4031.3514,61411.0956,66959.328125
1763,NE,False,"Thurston County, NE",Thurston County,2p3c,10956.0,10725.53316,11129.857516175016,23958.4392,7856.0742,17890.0152,10190.55468,96471.3924,58738.55859375
1558,MO,False,"Laclede County, MO",Laclede County,2p0c,6024.0,4964.49792,12813.265062854054,9565.37988,3981.56616,0.0,4907.07024,42077.6604,57723.02734375
