state,county,isMetro,parents_count,children_count,housing_cost,food_cost,transportation_cost,childcare_cost,median_family_income
WI,Portage County,False,1,3,12096.0,9234.96,13475.78,17924.74,81541.28
ID,Clark County,False,1,1,9444.0,4801.19,11374.65,6029.06,60005.66
KS,Rush County,False,1,4,12336.0,10901.8,14867.99,10288.99,68588.9
MO,St. Clair County,False,2,2,7944.0,8125.16,11209.8,9072.96,53007.84
SD,Ziebach County,False,1,1,8628.0,4908.22,12567.32,5308.39,40431.28
LA,Cameron Parish,True,2,2,11325.6372,8604.87,11148.39,9980.34,65246.58
WI,Sawyer County,False,1,1,9204.0,4587.12,12156.68,8411.83,62231.82
ID,Bannock County,True,2,0,7116.0,5972.61,12238.32,0.0,66481.85
MO,Lewis County,False,1,1,7944.0,4327.19,16168.77,4656.02,58650.25
SC,Williamsburg County,False,1,2,8148.0,6676.1,15460.51,6819.56,48268.01
TN,Trousdale County,True,2,4,13302.6792,14335.0,13819.5,12858.6,60821.99
ME,Knox County,False,2,3,14496.0,14788.79,13230.87,12340.97,73327.7
KS,McPherson County,False,1,1,8940.0,4847.06,15414.1,6131.78,73652.18
NC,Bertie County,False,2,4,10596.0,12946.3,15940.41,11699.9,52489.29
GA,Tattnall County,False,2,1,7776.0,7125.76,14454.81,5234.29,53824.17
NE,Kearney County,False,1,1,9132.0,4862.35,16822.32,6617.5,80353.24
CT,Litchfield County,False,2,3,18300.0,13324.55,15201.33,16551.91,104093.46
WI,Waupaca County,False,1,4,12228.0,9840.89,15090.25,17651.33,74928.52
OH,Erie County,False,2,3,12192.0,10249.66,12867.38,14419.25,68958.55
CA,San Mateo County,True,2,1,48028.5852,9422.1,13740.84,15051.15,145687.11
KY,Floyd County,False,2,4,9900.0,13618.25,12351.92,12133.93,43162.63
OH,Pike County,False,1,3,11748.0,8099.27,12845.07,13783.76,59042.5
TX,Fayette County,False,1,0,7008.0,3164.41,13215.06,0.0,74511.63
KY,Bell County,False,1,2,7956.0,6317.65,13300.84,10538.61,33254.79
GA,Bartow County,True,2,1,11453.15556,6912.7,13822.7,7043.36,67339.25
SD,Jerauld County,False,2,1,8628.0,7480.87,13711.64,5461.98,70915.69
NE,Gosper County,False,2,4,11244.0,13259.87,13918.17,17958.18,83001.43
OH,Adams County,False,1,4,11400.0,9804.3,13034.22,13545.04,50041.34
TX,Howard County,False,1,2,11568.0,6586.49,11572.66,9054.51,66959.33
NE,Thurston County,False,2,3,10956.0,10725.53,11129.86,17890.02,58738.56
MO,Laclede County,False,2,0,6024.0,4964.5,12813.27,0.0,57723.03
NY,Oneida County,True,1,4,12144.54,11011.55,13669.18,28482.25,73478.65
MN,Watonwan County,False,1,3,12600.0,9055.64,11966.42,12718.85,71126.19
VA,Roanoke County,True,2,0,9904.60992,6219.89,16127.73,0.0,87174.45
NE,Johnson County,False,2,1,8808.0,7173.11,14618.73,6552.57,67835.21
NE,Kimball County,False,1,4,10956.0,11926.13,11484.4,18261.18,67385.46
ND,Renville County,False,2,2,8808.0,9834.14,14581.57,12027.38,90489.05
IL,Kendall County,True,2,4,22032.0,12811.9,12732.44,22549.68,108138.13
MT,Silver Bow County,False,1,1,10320.0,5183.45,13782.43,7062.89,67459.39
IL,White County,False,1,2,8400.0,6295.25,14636.14,11837.11,62773.98
PA,Adams County,True,1,0,8352.0,3766.17,13273.64,0.0,83362.88
ND,Stark County,False,2,2,11208.0,10163.95,18769.34,13487.24,98664.63
PA,Philadelphia County,True,2,2,13818.3624,10103.98,11427.94,20372.14,56599.68
TN,Claiborne County,False,1,4,9900.0,11340.8,13625.49,9746.14,50453.1
OH,Monroe County,False,1,0,6576.0,2946.54,13918.87,0.0,57083.31
IN,Noble County,False,2,1,9216.0,6557.6,14758.98,6472.64,68568.36
