,sensor 1,sensor 2,sensor 3,sensor 4,sensor 5,sensor 6,sensor 7,sensor 8,sensor 9,sensor 10,sensor 11,sensor 12,sensor 13,sensor 14,sensor 15,sensor 16,sensor 17,sensor 18,sensor 19,sensor 20,sensor 21,sensor 22,sensor 23,sensor 24,sensor 25,sensor 26,sensor 27,sensor 28,sensor 29,sensor 30,sensor 31,sensor 32,sensor 33,sensor 34,sensor 35,sensor 36,sensor 37,sensor 38,sensor 39,sensor 40,sensor 41,sensor 42,sensor 43,sensor 44,sensor 45,sensor 46,sensor 47,sensor 48,sensor 49
Sensor ID,1,2,3,9,10,11,12,13,15,16,17,18,19,20,21,22,23,28,29,30,31,32,33,34,36,37,38,40,41,42,43,44,45,46,48,49,50,51,52,53,54,56,57,59,60,61,62,63,64
Sensor Alias,sensor_01,sensor_02,sensor_03,sensor_10,sensor_26,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_52,sensor_25,sensor_08,sensor_27,sensor_21,sensor_22,sensor_24,sensor_20,sensor_23,sensor_43,sensor_45,sensor_44,sensor_48,sensor_47,sensor_46,sensor_41,sensor_51,sensor_50,sensor_53,sensor_55,sensor_07,sensor_56,sensor_38,sensor_31,sensor_39,sensor_35,sensor_36,sensor_34,sensor_11,sensor_33,sensor_28,sensor_40,sensor_04,sensor_06,sensor_54,sensor_42,sensor_57
Latitude,26.713262,26.71327,26.713374,26.713267,26.713259,26.713253,26.713383,26.713253,26.713384,26.713377,26.713254,26.713241,26.713422,26.713333,26.713453,26.71332,26.713438,26.713399,26.713406,26.71351,26.713527,26.713336,26.713371,26.713217,26.71324,26.713369,26.713247,26.713404511344233,26.713292911204316,26.713450632546753,26.713319672370567,26.713328520319507,26.713457,26.713341,26.7133409,26.7133921,26.7133589,26.713367,26.713372,26.7134853,26.7134373,26.713393,26.7134448,26.713479,26.713499,26.713393,26.713495,26.713386,26.713508
Longitude,-80.052443,-80.052675,-80.052445,-80.052031,-80.052244,-80.051599,-80.051588,-80.051737,-80.051707,-80.051308,-80.051483,-80.051114,-80.050483,-80.053663,-80.053955,-80.053839,-80.05368,-80.056938,-80.057136,-80.056714,-80.057113,-80.050887,-80.05057,-80.050585,-80.051,-80.051099,-80.050775,-80.0530895305153,-80.05294297087231,-80.05415014341882,-80.05400151275425,-80.05421610676242,-80.054317,-80.054383,-80.054607,-80.0563562,-80.0548058,-80.0557215,-80.055947,-80.0556822,-80.0548008,-80.056127,-80.0545805,-80.055881,-80.056513,-80.056737,-80.056362,-80.05654,-80.056925
2022-07-27 19:00:00,38,40,40,43,51,39,44,40,46,44,40,,32,34,21,31,37,,,45,,37,33,40,38,38,33,58,42,33,37,35,29,21,6,36,36,35,,14,31,15,31,41,32,40,42,45,
2022-07-27 19:05:00,41,45,46,52,48,51,54,46,45,46,42,,36,33,20,34,41,,,32,,38,28,29,42,37,36,56,41,37,35,31,28,20,7,32,29,36,,15,23,11,27,40,29,36,36,40,
2022-07-27 19:10:00,38,38,42,38,45,48,48,43,45,45,34,,32,32,16,41,34,,,33,,37,26,27,37,38,26,58,45,34,31,20,25,12,4,30,30,30,,14,24,11,26,35,32,31,38,38,
2022-07-27 19:15:00,45,43,45,45,55,47,41,33,49,42,42,,36,38,23,47,41,,,46,,32,29,25,34,29,28,69,44,44,40,39,30,25,3,35,38,32,,16,30,13,29,32,38,40,48,39,
2022-07-27 19:20:00,41,48,56,50,58,58,51,45,48,48,48,,29,46,27,51,44,,,38,,40,24,33,44,40,28,60,50,37,40,29,29,27,3,28,36,31,,10,30,11,27,40,34,37,39,42,
2022-07-27 19:25:00,40,44,49,41,48,44,41,42,47,35,37,,31,37,23,33,30,,,40,,32,27,30,35,36,28,60,37,28,31,27,19,20,4,32,26,27,,6,20,13,23,29,35,36,42,40,
2022-07-27 19:30:00,38,48,46,53,48,48,50,45,41,28,40,,19,38,18,46,30,,,38,,22,19,24,30,31,20,59,44,28,31,24,19,16,1,31,28,28,,12,18,12,20,26,35,32,38,40,
2022-07-27 19:35:00,43,40,54,50,52,54,45,46,57,34,32,,19,43,25,37,39,,,36,,26,17,23,17,30,21,56,43,35,35,34,20,22,2,34,33,31,,25,23,12,26,36,37,33,38,38,
2022-07-27 19:40:00,42,49,49,34,48,41,44,34,41,37,37,,35,31,19,38,36,,,34,,36,35,28,33,30,27,58,47,29,34,34,25,22,2,28,31,28,,14,25,7,26,32,27,32,33,37,
2022-07-27 19:45:00,38,42,51,42,47,41,35,35,42,40,35,,27,41,27,37,43,,,29,,34,24,27,32,31,27,57,40,37,38,37,24,24,3,34,29,29,,16,21,10,23,43,32,32,39,42,
2022-07-27 19:50:00,40,40,55,41,45,34,37,35,40,36,28,,25,34,24,36,36,,,34,,33,22,29,48,51,31,57,39,29,34,24,25,17,1,30,30,33,,18,20,12,21,34,36,27,36,32,
2022-07-27 19:55:00,44,48,54,42,48,43,43,34,34,27,33,,24,44,25,41,34,,,42,,28,24,27,28,31,25,66,45,37,42,34,29,19,3,40,38,32,,19,23,19,25,41,40,38,45,43,
2022-07-27 20:00:00,47,52,57,49,,47,45,39,44,38,36,,18,41,33,43,42,,,37,,30,29,26,33,43,19,61,59,,38,33,31,25,4,34,31,32,,16,22,13,25,37,35,35,35,40,
2022-07-27 20:05:00,37,46,48,36,,39,38,29,39,32,33,,21,40,23,36,38,,,31,,27,24,23,32,30,22,65,45,,38,33,24,22,1,33,32,31,,16,20,19,23,37,18,32,37,41,
2022-07-27 20:10:00,42,47,50,41,,41,41,43,47,40,37,,28,39,28,43,39,,,29,,37,24,25,45,43,30,65,45,,40,32,23,24,3,38,36,29,,11,26,17,29,33,29,39,39,35,
2022-07-27 20:15:00,38,47,52,37,58,37,39,30,38,45,37,,21,40,21,35,32,,,35,,27,24,21,36,46,25,59,38,,27,24,19,18,1,33,33,28,,13,21,16,19,37,32,38,41,40,
2022-07-27 20:20:00,36,45,52,45,49,49,49,46,47,42,39,,27,42,27,36,33,,,29,,38,33,26,38,42,26,64,46,21,33,28,25,12,1,33,24,30,,16,20,12,21,29,31,36,33,38,
2022-07-27 20:25:00,41,44,53,40,51,37,40,33,42,36,26,,19,44,27,37,41,,,37,,31,24,26,28,37,19,54,49,39,35,36,23,21,2,30,29,25,,13,24,11,26,32,30,32,31,36,
2022-07-27 20:30:00,40,49,48,34,53,42,40,34,45,31,31,,24,41,23,42,43,,,44,,27,21,24,21,27,22,65,55,38,34,26,16,16,0,33,32,30,,14,24,17,25,33,35,40,39,45,
2022-07-27 20:35:00,38,39,49,41,49,33,36,36,46,32,36,,33,34,16,38,40,,,43,,27,31,30,32,33,28,62,45,29,26,26,24,14,1,32,28,19,,6,21,13,22,34,32,37,33,39,
2022-07-27 20:40:00,39,45,50,42,51,43,42,36,43,43,34,,27,46,21,40,37,,,33,,30,28,33,33,38,27,65,38,31,33,31,24,16,3,37,28,26,,14,20,14,16,33,33,34,39,40,
2022-07-27 20:45:00,43,44,55,40,50,40,39,40,45,35,36,,16,43,21,36,38,,,41,,33,23,26,37,39,24,55,43,28,33,32,23,17,2,35,34,32,,17,33,16,28,38,35,36,39,42,
2022-07-27 20:50:00,35,39,56,43,53,43,43,37,41,36,29,,31,41,20,36,37,,,41,,28,28,26,27,31,22,61,46,30,31,35,24,18,4,32,32,30,,17,22,15,27,30,30,36,37,41,
2022-07-27 20:55:00,39,50,56,52,48,46,42,46,45,34,35,,36,48,28,45,42,,,33,,27,27,19,29,25,33,61,52,43,36,35,28,20,0,33,33,26,,10,20,15,21,33,34,36,36,43,
2022-07-27 21:00:00,43,50,54,38,,44,45,33,49,36,31,,29,42,27,42,37,,,37,,34,29,28,35,39,26,65,49,,34,35,26,16,3,39,34,30,,13,26,18,24,37,34,32,41,43,
2022-07-27 21:05:00,38,49,42,40,,48,40,38,45,35,30,,22,42,24,40,38,,,35,,27,19,22,31,35,20,59,38,24,34,29,21,13,1,37,36,33,,14,21,15,22,25,33,34,45,42,
2022-07-27 21:10:00,51,49,61,52,67,47,54,46,42,41,37,,25,48,26,38,46,,,40,,32,26,23,27,29,27,73,50,30,46,45,27,26,3,31,29,29,,19,30,9,36,30,32,36,30,38,
2022-07-27 21:15:00,47,43,53,47,46,44,44,38,44,33,30,,19,36,29,44,36,,,39,,31,22,24,28,36,20,64,47,35,35,33,22,17,1,38,35,25,,16,24,17,28,39,38,36,44,41,
2022-07-27 21:20:00,39,46,56,38,49,40,42,39,40,33,25,,10,43,21,34,38,,,45,,31,15,16,28,30,18,61,47,32,31,26,16,16,,34,26,24,,10,18,15,19,34,35,39,39,43,
2022-07-27 21:25:00,37,43,46,49,51,42,39,38,50,44,38,,7,42,23,44,42,,,45,,31,15,16,32,31,21,63,42,37,33,33,24,25,0,38,32,29,,23,27,18,23,41,38,41,46,42,
2022-07-27 21:30:00,44,52,57,50,45,48,46,37,49,32,34,,12,39,32,34,38,,,43,,27,11,22,35,29,21,66,50,34,34,39,22,18,5,33,31,23,,17,23,11,34,34,29,42,40,42,
2022-07-27 21:35:00,40,51,54,43,53,43,42,36,42,38,29,,13,41,27,34,35,,,40,,33,18,21,28,31,15,61,50,24,31,26,25,20,3,32,30,24,,16,23,11,26,33,34,34,39,43,
2022-07-27 21:40:00,39,39,51,41,52,41,40,34,38,42,28,,10,43,27,43,42,,,43,,33,16,17,29,31,17,62,47,38,32,35,23,22,3,38,33,25,,16,27,12,30,35,37,39,45,37,
2022-07-27 21:45:00,44,45,59,50,55,44,40,32,45,38,28,,11,41,29,45,46,,,35,,30,16,19,33,40,13,52,45,35,35,29,20,22,,34,29,24,,11,26,10,31,32,32,32,40,34,
2022-07-27 21:50:00,45,54,47,44,54,39,37,34,40,36,30,,16,42,26,40,43,,,43,,31,21,27,33,29,20,70,46,39,37,37,30,25,2,38,31,32,,21,24,15,30,37,39,41,49,41,
2022-07-27 21:55:00,39,41,44,46,48,42,41,32,41,40,30,,28,34,27,36,36,,,45,,29,20,24,37,31,29,56,45,33,31,32,27,21,2,33,28,27,,14,25,18,25,39,25,37,40,40,
2022-07-27 22:00:00,42,44,55,41,58,43,46,39,46,34,33,,28,44,27,43,36,,,36,,26,22,25,30,28,30,67,47,17,37,36,23,23,3,33,31,24,,16,18,12,25,33,,40,42,39,
2022-07-27 22:05:00,43,46,54,51,55,40,37,35,37,38,30,,28,42,24,30,37,,,43,,34,28,25,29,32,28,66,47,,33,35,24,19,0,37,27,31,,12,24,11,24,36,,40,47,47,
2022-07-27 22:10:00,45,49,57,48,46,48,44,39,43,41,32,,25,41,22,45,43,,,42,,33,26,28,27,37,27,55,45,16,37,33,23,14,1,36,34,32,,12,23,16,28,37,,40,45,47,
2022-07-27 22:15:00,39,42,53,43,53,40,39,36,48,41,27,,20,45,34,44,41,,,35,,31,22,23,38,35,30,71,45,35,39,38,24,22,,37,36,26,,21,28,16,30,34,56,39,47,42,
2022-07-27 22:20:00,39,45,51,51,55,48,45,35,45,37,34,,25,42,23,36,43,,,44,,25,19,25,28,29,27,67,43,31,37,36,25,15,1,38,28,28,,17,21,17,30,42,36,38,40,40,
2022-07-27 22:25:00,42,38,52,43,49,42,42,38,40,35,33,,34,35,27,35,35,,,34,,41,24,30,35,33,35,60,44,26,33,34,18,18,0,37,28,27,,15,19,12,26,36,36,40,43,42,
2022-07-27 22:30:00,46,54,56,43,50,42,38,34,40,37,31,,26,45,29,36,47,,,45,,34,27,24,25,28,24,61,49,33,39,36,30,25,1,37,30,26,,17,22,14,26,37,33,41,43,43,
2022-07-27 22:35:00,48,39,55,53,51,44,47,40,51,44,35,,23,39,19,33,40,,,35,,34,21,25,29,33,25,60,42,29,33,32,28,25,1,31,29,25,,18,22,13,26,27,36,37,42,38,
2022-07-27 22:40:00,40,45,50,66,71,59,53,65,61,47,39,,24,42,27,34,43,,,35,,28,25,21,27,28,27,63,39,29,32,32,20,19,0,37,20,21,,12,18,14,20,36,35,34,41,38,
2022-07-27 22:45:00,43,49,50,42,47,41,34,27,42,39,30,,20,32,24,33,37,,,32,,30,21,21,29,28,23,60,47,27,31,31,21,16,,36,24,20,,15,21,11,23,31,32,35,31,40,
2022-07-27 22:50:00,43,38,48,49,58,46,43,44,50,33,32,,26,42,29,36,42,,,38,,27,28,26,27,28,25,59,43,34,37,30,22,24,3,30,32,25,,18,23,15,26,32,32,39,41,42,
2022-07-27 22:55:00,43,41,49,45,50,41,43,35,44,38,30,,28,36,24,34,40,,,36,,30,23,27,26,27,26,57,45,32,34,33,20,23,2,32,31,32,,18,23,15,26,34,32,38,39,39,
2022-07-27 23:00:00,42,43,46,45,57,38,34,39,39,33,26,,24,35,27,37,47,,,48,,23,23,21,23,22,23,63,37,,35,31,19,19,0,49,28,33,,8,23,21,25,46,46,50,60,50,
2022-07-27 23:05:00,44,54,52,41,56,34,42,35,40,32,29,,23,48,37,47,48,,,33,,24,22,20,26,23,23,67,54,,52,39,36,26,1,33,37,24,,21,25,8,38,41,35,37,40,42,
2022-07-27 23:10:00,39,32,51,47,58,42,35,34,44,39,30,,32,34,25,36,34,,,32,,25,25,24,26,23,29,58,48,,37,35,21,16,0,30,24,24,,13,21,12,26,34,31,35,34,41,
2022-07-27 23:15:00,44,46,58,52,60,47,41,33,47,41,35,,32,41,28,39,47,,,37,,31,28,30,31,34,31,56,54,16,40,33,26,20,5,32,26,27,,14,21,11,29,34,33,37,39,40,
2022-07-27 23:20:00,46,47,54,47,49,40,41,35,37,36,32,,27,38,26,39,47,,,28,,24,20,22,31,24,26,61,45,35,36,34,22,22,,37,25,23,,16,21,12,22,27,30,36,44,36,
2022-07-27 23:25:00,43,43,59,44,57,43,46,39,43,31,35,,25,37,27,34,45,,,32,,26,28,26,31,26,25,54,50,32,36,32,24,22,1,30,28,18,,11,17,9,24,31,27,36,40,40,
2022-07-27 23:30:00,49,45,50,50,56,36,42,31,44,35,31,,28,38,30,37,41,,,34,,29,26,24,33,28,29,65,54,36,39,37,24,24,,29,27,18,,12,22,10,25,39,33,34,35,43,
