satisfaction,total_bill,tip,size,time,sex,day
4.5,46.53,6.95,2,Dinner,Male,Saturday
5.0,22.66,10.73,3,Dinner,Female,Monday
1.5,33.84,1.45,6,Dinner,Female,Thursday
5.1,42.82,7.48,2,Dinner,Female,Thursday
4.7,41.59,6.67,1,Dinner,Female,Saturday
3.1,90.35,14.0,6,Dinner,Female,Sunday
5.3,28.02,5.42,1,Dinner,Male,Monday
4.4,41.56,12.49,4,Dinner,Female,Sunday
2.5,43.25,2.08,6,Dinner,Male,Monday
7.2,36.72,12.96,4,Dinner,Female,Tuesday
4.2,77.55,14.09,5,Dinner,Male,Saturday
5.4,50.06,7.96,1,Dinner,Male,Tuesday
2.9,51.16,4.02,2,Dinner,Female,Thursday
3.4,107.47,13.77,4,Dinner,Male,Sunday
4.9,51.24,16.63,5,Dinner,Male,Monday
5.3,37.86,8.78,6,Dinner,Male,Tuesday
3.8,51.32,2.21,5,Dinner,Male,Thursday
6.6,70.56,13.52,5,Dinner,Female,Saturday
4.3,60.31,8.99,5,Dinner,Male,Sunday
5.2,44.71,6.49,2,Dinner,Female,Monday
4.3,30.41,4.51,2,Dinner,Male,Tuesday
6.1,39.18,9.31,5,Dinner,Male,Thursday
5.3,39.01,11.95,2,Dinner,Male,Wednesday
4.9,54.51,7.87,4,Dinner,Male,Monday
5.2,38.3,8.45,2,Dinner,Female,Friday
5.2,78.25,10.36,2,Dinner,Male,Saturday
2.8,101.44,15.26,6,Dinner,Male,Saturday
5.0,56.85,10.62,1,Dinner,Male,Sunday
4.1,65.29,7.59,6,Dinner,Male,Monday
4.9,31.56,4.33,4,Dinner,Female,Tuesday
6.3,47.72,10.9,1,Dinner,Male,Tuesday
7.9,40.2,18.78,4,Dinner,Male,Tuesday
6.4,32.03,11.75,1,Dinner,Female,Wednesday
3.6,40.65,4.36,2,Dinner,Female,Monday
5.2,95.49,15.83,1,Dinner,Female,Saturday
4.3,50.82,11.23,1,Dinner,Male,Wednesday
7.3,38.5,14.23,1,Dinner,Female,Friday
4.5,46.89,4.7,5,Dinner,Female,Friday
5.5,34.88,8.16,6,Dinner,Female,Sunday
6.7,41.26,10.17,4,Dinner,Male,Friday
5.2,52.01,9.61,2,Dinner,Female,Friday
2.5,46.17,0.59,2,Dinner,Female,Friday
3.5,35.22,1.45,3,Dinner,Female,Friday
4.5,46.15,5.31,5,Dinner,Female,Friday
1.6,60.67,1.02,5,Dinner,Male,Thursday
6.9,40.78,8.28,4,Dinner,Male,Wednesday
3.7,89.63,12.77,1,Dinner,Female,Saturday
3.1,39.93,3.01,6,Dinner,Female,Tuesday
3.2,26.53,1.33,4,Dinner,Female,Tuesday
3.1,39.05,0.56,5,Dinner,Female,Thursday
2.3,37.72,1.12,3,Dinner,Male,Monday
3.9,77.0,4.42,1,Dinner,Male,Sunday
3.8,54.23,2.18,5,Dinner,Male,Tuesday
4.5,42.05,3.71,4,Dinner,Female,Wednesday
2.3,12.19,1.04,5,Dinner,Male,Wednesday
5.8,39.11,4.67,1,Dinner,Male,Wednesday
5.6,47.56,16.94,3,Dinner,Male,Monday
6.0,39.46,6.86,5,Dinner,Female,Tuesday
5.2,27.58,10.54,3,Dinner,Male,Monday
2.8,56.57,5.7,1,Dinner,Female,Thursday
6.6,55.12,16.56,3,Dinner,Female,Wednesday
5.3,30.93,6.9,1,Dinner,Female,Thursday
3.9,32.23,2.99,3,Dinner,Female,Wednesday
3.3,69.6,10.39,1,Dinner,Female,Sunday
2.5,30.61,3.95,5,Dinner,Male,Thursday
3.1,50.36,6.07,5,Dinner,Female,Thursday
4.1,46.31,3.68,1,Dinner,Male,Friday
9.0,21.06,12.5,3,Dinner,Male,Tuesday
4.2,43.82,4.33,3,Dinner,Female,Tuesday
4.2,56.47,10.52,5,Dinner,Male,Wednesday
2.8,42.28,7.91,5,Dinner,Male,Tuesday
8.4,74.21,22.74,5,Dinner,Male,Sunday
5.3,44.03,11.44,4,Dinner,Male,Thursday
2.2,32.87,4.75,5,Dinner,Female,Monday
4.2,34.09,11.92,4,Dinner,Male,Thursday
